game_id,team1_id,team2_id,team1_won,kill_diff,dragon_diff,rift_herald_diff,tower_diff,grub_diff,first_blood,first_dragon,first_herald,first_tower
0,4,5,1,2,0,0,-1,0,team1,none,none,team1
1,4,5,0,0,0,0,-1,0,team1,none,none,team1
2,4,5,0,0,0,0,0,0,team1,none,none,team1
3,4,5,0,-6,0,0,-1,0,team2,none,none,team1
4,8,9,0,-1,0,0,0,0,team1,none,none,none
5,8,9,1,3,0,0,1,0,team1,none,none,none
6,8,9,1,-1,0,0,1,0,team1,none,none,team1
7,8,9,1,3,0,0,1,0,team2,none,none,team1
8,6,7,1,-2,0,0,0,0,team2,none,none,team2
9,6,7,1,5,0,-1,-1,0,team1,none,team2,team1
10,6,7,1,2,0,0,1,0,team2,none,none,team1
11,31,32,0,-2,0,0,-1,0,team2,none,none,team2
12,31,32,0,-2,0,0,-1,0,team2,none,none,none
13,31,32,1,2,0,0,-1,0,team1,none,none,none
14,31,32,0,1,0,0,1,0,team2,none,none,team2
15,0,1,0,-2,0,-1,-3,0,team1,none,team2,team2
16,2,3,1,-3,0,-1,-2,0,team1,none,team2,team2
17,2,3,1,5,0,1,3,0,team1,none,team1,team1
18,2,3,1,5,0,1,2,0,team2,none,team1,none
19,10,11,0,-5,0,1,0,0,team2,none,team1,team1
20,1,24,0,-3,0,-1,-1,0,team2,none,team2,team2
21,1,24,0,4,0,1,-2,0,team1,none,team1,none
22,1,24,0,-1,0,1,1,0,team2,none,team1,team2
23,2,25,1,6,0,1,3,0,team1,none,team1,team1
24,2,25,1,4,0,-1,-1,0,team2,none,team2,none
25,2,25,0,-9,0,1,-1,0,team2,none,team1,team1
26,2,25,1,-1,0,-1,-2,0,team2,none,team2,team2
27,11,30,1,1,0,-1,2,0,team2,none,team2,team1
28,11,30,0,0,0,-1,-2,0,team1,none,team2,team2
29,11,30,0,-10,0,-1,-2,0,team2,none,team2,team2
30,2,24,0,0,0,1,2,0,team2,none,team1,team1
31,2,24,1,4,0,1,3,0,team2,none,team1,team1
32,2,24,0,-7,0,1,-4,0,team1,none,team1,team2
33,2,24,0,-2,0,1,0,0,team2,none,team1,team1
34,2,11,0,1,0,-1,-2,0,team2,none,team2,team2
35,24,30,1,4,0,1,1,0,team1,none,team1,team1
36,24,30,0,1,0,-1,-1,0,team1,none,team2,none
37,24,30,1,10,0,1,5,0,team1,none,team1,team1
38,14,15,0,1,0,0,2,0,team1,none,none,team1
39,20,21,0,-2,0,0,-1,0,team1,none,none,none
40,15,20,1,-1,0,0,0,0,team2,none,none,none
41,14,21,0,-5,0,0,0,0,team1,none,none,team1
42,14,20,1,-4,0,0,0,0,team2,none,none,team1
43,15,21,0,0,0,0,0,0,team2,none,none,none
44,16,17,0,-1,0,0,-2,0,team1,none,none,team2
45,22,23,1,3,0,0,2,0,team1,none,none,none
46,17,23,1,6,0,0,2,0,team1,none,none,team1
47,16,22,0,1,0,1,-2,0,team1,none,team1,team2
48,17,22,1,4,0,0,0,0,team2,none,none,none
49,16,23,1,4,0,0,4,0,team1,none,none,team1
50,12,13,0,-6,0,0,-5,0,team2,none,none,team2
51,26,27,1,-3,0,0,2,0,team2,none,none,team1
52,13,27,1,8,0,0,3,0,team1,none,none,team1
53,12,26,0,1,0,0,-2,0,team1,none,none,team2
54,12,27,0,0,0,0,0,0,team1,none,none,none
55,13,26,1,7,0,0,4,0,team1,none,none,team1
56,18,19,1,-5,0,0,-2,0,team1,none,none,team2
57,28,29,0,-12,0,0,-2,0,team2,none,none,team2
58,18,28,1,1,0,0,3,0,team1,none,none,team1
59,19,29,0,-9,0,-1,-2,0,team1,none,team2,team2
60,19,28,1,0,0,0,1,0,team1,none,none,team1
61,18,29,1,2,0,0,2,0,team1,none,none,none
62,21,26,1,0,0,0,-1,0,team1,none,none,team2
63,21,26,0,3,0,0,-1,0,team1,none,none,team2
64,21,26,1,4,0,0,2,0,team1,none,none,team1
65,13,15,1,5,0,0,3,0,team1,none,none,team1
66,13,15,1,6,0,0,3,0,team1,none,none,team1
67,17,29,1,1,0,0,0,0,team2,none,none,team2
68,17,29,0,-7,0,-1,-2,0,team2,none,team2,team2
69,17,29,1,-2,0,0,0,0,team2,none,none,none
70,18,22,1,2,0,0,2,0,team2,none,none,team1
71,18,22,1,2,0,0,0,0,team2,none,none,team1
72,17,21,1,1,0,0,1,0,team1,none,none,team1
73,17,21,1,3,0,0,0,0,team2,none,none,team1
74,17,21,1,0,0,0,0,0,team2,none,none,team1
75,13,18,1,0,0,0,-1,0,team2,none,none,none
76,13,18,1,2,0,-1,-1,0,team2,none,team2,team2
77,13,18,1,2,0,0,2,0,team1,none,none,team2
78,13,17,0,1,0,0,0,0,team1,none,none,none
79,13,17,1,1,0,0,-1,0,team2,none,none,team2
80,13,17,0,0,0,0,1,0,team1,none,none,team2
81,13,17,0,-5,0,0,-1,0,team2,none,none,team1
82,33,34,0,-2,0,0,-2,0,team1,none,none,team2
83,34,35,0,-3,0,0,0,0,team1,none,none,team2
84,33,35,1,1,0,0,3,0,team2,none,none,team1
85,7,8,1,10,0,0,5,0,team1,none,none,team1
86,8,36,0,1,0,0,0,0,team2,none,none,team2
87,7,36,1,5,0,0,1,0,team2,none,none,none
