game_id,team1_id,team2_id,team1_won,kill_diff,dragon_diff,rift_herald_diff,tower_diff,grub_diff,first_blood,first_dragon,first_herald
17821,148,153,0,0,0,-1,0,0,team1,none,team2
17822,150,394,0,-1,0,1,0,0,team2,none,team1
17823,343,344,0,2,0,1,0,0,team1,none,team1
17824,35,152,0,-3,0,1,0,0,team2,none,team1
17825,176,342,1,-2,0,1,0,0,team2,none,team1
17826,41,175,0,0,0,-1,0,0,team2,none,team2
17827,177,488,1,0,0,1,0,0,team2,none,team1
17828,148,150,1,1,0,1,0,0,team1,none,team1
17829,173,413,0,0,0,1,0,0,none,none,team1
17830,149,394,0,1,0,-1,0,0,team1,none,team2
17831,176,343,1,2,0,0,0,0,none,none,none
17832,344,413,0,3,0,0,0,0,team1,none,none
17833,153,489,1,2,0,1,0,0,team1,none,team1
17834,149,152,0,0,0,-1,0,0,team2,none,team2
17835,35,153,0,-8,0,1,0,0,team2,none,team1
17836,173,177,0,-2,0,-1,0,0,team2,none,team2
17837,175,342,0,-1,0,-1,0,0,team2,none,team2
17838,150,489,1,-1,0,1,0,0,team2,none,team1
17839,41,342,0,-1,0,0,0,0,team1,none,none
17840,148,394,0,-2,0,1,0,0,team2,none,team1
17841,177,344,1,1,0,1,0,0,team2,none,team1
17842,175,176,1,3,0,1,0,0,team1,none,team1
17843,343,413,0,2,0,0,0,0,team1,none,none
17844,41,173,0,1,0,0,0,0,team1,none,none
17845,342,488,1,2,0,1,0,0,team1,none,team1
17846,148,149,1,-2,0,-1,0,0,team2,none,team2
17847,176,413,1,4,0,1,0,0,team1,none,team1
17848,177,343,1,1,0,1,0,0,team1,none,team1
17849,394,489,0,1,0,1,0,0,team1,none,team1
17850,173,342,0,-1,0,-1,0,0,team2,none,team2
17851,175,488,1,2,0,1,0,0,team2,none,team1
17852,41,344,0,3,0,-1,0,0,team2,none,team2
17853,35,150,0,4,0,0,0,0,team1,none,none
17854,173,175,0,-1,0,-1,0,0,team2,none,team2
17855,152,153,0,-1,0,-1,0,0,team2,none,team2
17856,35,394,1,-2,0,-1,0,0,team2,none,team2
17857,41,343,1,-1,0,1,0,0,team2,none,team1
17858,176,488,0,-1,0,-1,0,0,team2,none,team2
17859,342,344,1,1,0,-1,0,0,team1,none,team2
17860,177,413,1,1,0,-1,0,0,team2,none,team2
17861,173,488,1,-2,0,-1,0,0,team2,none,team2
17862,150,152,0,-1,0,1,0,0,team2,none,team1
17863,41,413,0,0,0,-1,0,0,none,none,team2
17864,342,343,1,4,0,1,0,0,team1,none,team1
17865,149,153,0,-3,0,-1,0,0,team2,none,team2
17866,176,177,0,2,0,-1,0,0,team1,none,team2
17867,148,489,0,1,0,1,0,0,team1,none,team1
17868,175,344,0,0,0,-1,0,0,team2,none,team2
17869,41,177,0,0,0,-1,0,0,team1,none,team2
17870,150,153,0,1,0,-1,0,0,team2,none,team2
17871,344,488,1,-1,0,-1,0,0,team2,none,team2
17872,175,343,1,3,0,-1,0,0,none,none,team2
17873,149,489,0,-5,0,-1,-1,0,team2,none,team2
17874,342,413,1,1,0,1,0,0,team1,none,team1
17875,173,176,0,1,0,-1,0,0,team1,none,team2
17876,152,394,0,2,0,-1,0,0,team2,none,team2
17877,175,413,1,1,0,1,0,0,team1,none,team1
17878,41,176,1,5,0,1,1,0,team1,none,team1
17879,35,148,0,-3,0,-1,0,0,team2,none,team2
17880,173,344,0,-1,0,1,0,0,team2,none,team1
17881,343,488,0,-2,0,-1,-1,0,none,none,team2
17882,149,150,0,-5,0,-1,0,0,team2,none,team2
17883,177,342,0,-1,0,1,0,0,team2,none,team1
17884,153,394,1,2,0,1,0,0,team1,none,team1
17885,148,152,0,1,0,1,0,0,team1,none,team1
17886,35,489,0,5,0,-1,0,0,team2,none,team2
17887,148,153,0,-1,0,1,0,0,team1,none,team1
17888,152,489,1,5,0,1,0,0,team1,none,team1
17889,35,149,1,-2,0,-1,0,0,team2,none,team2
17890,150,394,0,-1,0,1,0,0,team2,none,team1
17891,148,150,1,0,0,-1,0,0,team2,none,team2
17892,149,394,0,0,0,1,0,0,team1,none,team1
17893,153,489,1,-1,0,1,0,0,team2,none,team1
17894,35,152,0,-1,0,-1,0,0,team2,none,team2
17895,149,152,0,0,0,0,0,0,team2,none,none
17896,35,153,0,-1,0,-1,0,0,none,none,team2
17897,150,489,1,3,0,1,0,0,team1,none,team1
17898,148,394,1,0,0,1,1,0,team2,none,team1
17899,394,489,0,0,0,0,0,0,team2,none,none
17900,148,149,1,4,0,1,0,0,team1,none,team1
17901,35,150,0,0,0,-1,0,0,none,none,team2
17902,152,153,0,-4,0,-1,0,0,team2,none,team2
